block,tx,token,bnb_in,tokens_out,mcap_d_usd,mcap_n2_usd,mcap_low_usd,mcap_ath_usd,ath_offset_blocks,post_buy_points,ath_mult_vs_d,ath_mult_vs_n2,dd_mult_vs_n2
97673350,0xc72243a7d44bd1b93d4e79bc53ae0f08d6987bdcf3cfba66254744ecbb797efb,0x057cee2a4d3458121bd84179e83d7cea35e04444,0.495000,66673316.07,4677,8895,8895,9132,2,57,1.95,1.03,1.00
97675259,0x8764ebdeaa883033da2da3a1d67b59c1463633c183fef1dac88cac5cf28e1b03,0x180ebbf447539381d33c306b881828046ff94444,1.485000,96805733.76,9664,17112,16101,23836,11,83,2.47,1.39,0.94
97675288,0xe861152db05c0a52d3e27cd6ce488bd33a3eeff95286dc862c28fab44a789f01,0x3997eea48106d8995ce214d7581e80d528444444,1.980000,78458622.63,15899,24200,24200,31570,2,186,1.99,1.30,1.00
97680065,0xcfb9031da2bff0636cb805140a9ced69e0e180e62938efe6bf6e21ac458c6414,0x15e566cbe69035ed452d86821a2db77579714444,0.683100,91656405.40,4695,7656,7656,9186,6,77,1.96,1.20,1.00
97683890,0x7986b6b5ebfa7ab150987e68b0be5c4270dad2eaaf47dcc4a54246408e978f62,0x52b5ec3ed4428a8c9323e57f3ae4386522c14444,0.683100,91164436.89,4721,9144,9144,9838,4,34,2.08,1.08,1.00
97683923,0x28172def440bb22379b164c5fc72722b21d4a7a1ba907d560960e14f47333229,0x870e4ac6d7ea93b059b61a6dbadba5282def4444,0.683100,76007180.13,5662,7982,7982,10264,1,20,1.81,1.29,1.00
97683924,0x25b7319d5e0c0a4ec2690778ec6924b5510d2204e2bdd5c8827ce058430e7762,0x2d636f87e73f31532aa4d81049917238ac9b4444,0.683100,62325130.21,6905,9572,9572,11253,1,52,1.63,1.18,1.00
97687984,0x70224b36e511e5b48a197b62bddc5425532b635ae0d174a385bf1e7b6c136713,0x7b622113f96109e2121fdd319ece221e52ec4444,0.683100,52854553.17,8142,30527,23950,55690,5,58,6.84,1.82,0.78
97687989,0x774bf856aaaaec8106bdbb61d0660f4801918e8b23addc1582ba4a5df4844953,0xf9271bfe52aed80eed321e3e4253efd721584444,0.683100,60893081.41,7067,20311,20311,55487,13,62,7.85,2.73,1.00
97687989,0xfd0ca87b839158931a3f01ddcc0efdf4c7e27bd20e7e8219c41038dcfab92ee5,0xf9271bfe52aed80eed321e3e4253efd721584444,0.683100,52309695.52,8227,20311,20311,55487,13,62,6.74,2.73,1.00
97687989,0xb704871c09ace04a0ab6ad640050d93340187a386980317542b3b4ae3e02eef3,0xf9271bfe52aed80eed321e3e4253efd721584444,0.683100,45421671.34,9475,20311,20311,55487,13,62,5.86,2.73,1.00
97688000,0x49c23ceed8e4bd6c62dc60bc824bc5bf7af46006fbbf6de1f64f4ea1d6a68909,0xea2a54aedfc18f8b190d954e1550c640ecda4444,0.683100,53134943.45,8099,12964,7892,56047,17,136,6.92,4.32,0.61
97688015,0xef40462fa8580eb4a991e9c7959e0b745e76488f76024a726410f81623b88cd7,0xea2a54aedfc18f8b190d954e1550c640ecda4444,1.485000,20451191.33,45746,52122,52122,56047,2,31,1.23,1.08,1.00
97884172,0x2651e6f8dc2cbc74c973b9b998e34ec95aa89400e97ab672429041352df86c08,0xdf790e8f05be6a83abd827d33f994cad3fad4444,0.683100,106182827.85,4053,8715,8715,20775,15,115,5.13,2.38,1.00
97884174,0xc598611c0cf06938ff7bbf5ee41435e0fca011eef5836a2f8aff8108b4649d8c,0xdf790e8f05be6a83abd827d33f994cad3fad4444,0.683100,49379278.54,8715,11133,10812,20775,13,102,2.38,1.87,0.97
97976641,0x63407c03f8d162ba5fc838afb23f1a94fbbdb33dcbe327e0500fd6565e4ee92b,0x446f1ca9ac47f99a514c77c3f796ea374c904444,0.683100,28332884.23,15189,19029,8879,21788,2944,650,1.43,1.14,0.47
97977897,0xd42e8a40d25db4767cdd25c788b8e1feda72fabb0709a79e042371cf53b3303a,0x14c0a7b1e7fb41528de0711c811b55ab3bba4444,464.874937,108169530.98,2707520,3633933,3201493,4807014,100,50,1.78,1.32,0.88
97978409,0xbfc8885ab39eeca1e79d56c12318230b7b7d9b9506154db4f5fcc528c1e0a8d3,0x5f6768d92e965852c82ed8c8b7529d9b09974444,336.737832,80591293.76,2632354,3626452,3626452,3626452,2,9,1.38,1.00,1.00
98018679,0x6974bd8a996c921b42cb7c78e7608a725cb9bf7b20c56b9566c77d604ea9d1ab,0x0eeae29384f2ed6c0c6be04e2b2727967bba4444,0.990000,54634920.80,11416,13940,13940,18262,10,123,1.60,1.31,1.00
98031464,0x5d027e8a724b6912c9fecab28b6cd7dd58f1f159d12df31996ae9fea476ffafc,0x4d14f5c56b0e71ae5c4cced6939e448e2a584444,0.683100,76315600.88,5639,9987,9987,28940,32,255,5.13,2.90,1.00
98031465,0x64d6bf7d75eb256c3d4dcd13c66bfce84578529861c22cc5172eae4d4d62497e,0x2dbc62750a1896fb6bbdd0cf9fcb2f66361c4444,0.683100,45459694.47,9467,11244,11244,15675,2,51,1.66,1.39,1.00
98031465,0x0cf85ad19a800adc102b49dcd485d4e0aeeeb848accd83008cc4e1b4fc31d505,0x2dbc62750a1896fb6bbdd0cf9fcb2f66361c4444,0.683100,39087164.27,11010,11244,11244,15675,2,51,1.42,1.39,1.00
98031480,0x8f9cba0e03b3b058fab3a0cda5a8d13f7a373e050ce0e5c300779142c986164a,0x4d14f5c56b0e71ae5c4cced6939e448e2a584444,0.683100,18985993.66,22667,21066,21066,28940,16,193,1.28,1.37,1.00
98031491,0x6f6a0d510e0461affcb904634dc967b37df5f79c007f6bf0d1fecb8af3a149f9,0xf3ce5038e5a446a38069846ce0f54dcd95524444,0.683100,74025474.87,5814,9915,9915,55531,39,164,9.55,5.60,1.00
98031518,0x8ce5cf4bf80d7ded8f4cfae9b2e35821c1707063a4f2b4ae3a4e5508c3a3ec74,0xf3ce5038e5a446a38069846ce0f54dcd95524444,0.683100,15156794.97,28393,33728,28693,55531,12,84,1.96,1.65,0.85
98036136,0x72101bf62afa7749eda1cc1c2e553a80e152a1cd33dded2f6c98a9b1805a3cb9,0xc36cf61b116d1da19a881559034d28eb62254444,0.683100,61147181.57,7038,4278,4278,11941,1,46,1.70,2.79,1.00
98038920,0xa37fd02efff66aecb6f5fe5a17becdda7f45bb0bea51353790f5afefaadd3ad6,0xa655dbba4a937d9e852642e32f5ec211aadf4444,0.495000,79097496.11,3943,5382,4706,11691,3914,75,2.97,2.17,0.87
98051896,0xf6d2810874f5e1f0a777ec02af3ebb3df5c0de5bd75c8f4a0e5e396a24054f96,0x4e20c44ec1cec338f5e5bd10666138d755b24444,0.683100,25543999.08,16848,23703,23359,55592,169,242,3.30,2.35,0.99
98053385,0xa07bfcdd97b3abce7f3505095ab8f51b02a90440250d943bdaf482053dc7cb67,0xf80898dd382840228f13c3f61e7bd23706a04444,0.683100,85253512.00,5048,8264,5241,9788,58,64,1.94,1.18,0.63
98073249,0x1b5438c490969e0fe81be6116b9d598479148d8176a662f2e95d519db1cc3523,0xac02e1e4802757483409d92d51d9c7cb6b794444,0.495000,79097496.11,3943,5559,5559,13981,96,228,3.55,2.51,1.00
98075171,0x18df81552d8cdbef1227b629d098c5e0af6f188b8a15405164ba1f14d3cb08d3,0xb4296123fc65d0871c50fcda4ac7d5da3189ffff,1.485000,40510750.43,23094,30006,18054,55894,120,362,2.42,1.86,0.60
98075213,0x7032b2223aded23133f0a203109ea083dc1aabb413e66d812bf96c295a7e2ee5,0xb4296123fc65d0871c50fcda4ac7d5da3189ffff,0.495000,10663421.79,29245,36721,35129,55894,78,249,1.91,1.52,0.96
98075236,0xc5d4cedf8d09c988b51efde960b35e16bc85cb45b8e0d5dc3d9dd00823751ba4,0xb4296123fc65d0871c50fcda4ac7d5da3189ffff,0.495000,6107297.96,51062,55761,35129,55894,55,203,1.09,1.00,0.63
98075291,0xa1a16c629fcd8234a8b6697e51fef37e50126ec1b3987fb705cec4431cfb1932,0xb4296123fc65d0871c50fcda4ac7d5da3189ffff,0.049500,564583.23,55235,49143,49143,55894,0,65,1.01,1.14,1.00
98079924,0xd3bf89bb3ef445eb9d95e800d198a9dafb5d0cbd0604c6d32ce5e4d4e2bc950a,0x7400bf6c09728d066e02749379bef1cb46d94444,1.287000,117692473.55,6889,9553,8353,55648,60,290,8.08,5.83,0.87
98079944,0xcaf40bd0abb19ac2e6a4cbca968a5cc5c2fb344d28eff258717b9a05f2c83ef3,0xaa61cc4aea506d5cb2d7890dcafd070097a24444,0.683100,77450500.64,5556,10262,9238,13712,16,40,2.47,1.34,0.90
98182805,0xb9fb362c8d986a003bda579a120d45b3f00c68cdd577419585b954efb94f8483,0xb0036dabe3e8f535a1534ceffab8a1c707dc4444,0.683100,25975989.97,16567,25402,23544,29336,17,368,1.77,1.15,0.93
98184391,0xa0451ac6aa1b361c9ca96343774a9fb28646ec4d8a6af22c894ab9afbbaabba0,0xb9855b578baa374e2f1d39a395ec45c83afd4444,0.683100,90116235.16,4776,9188,9188,10065,1,48,2.11,1.10,1.00
98187024,0x9d344f226c0cccdd68f6a65b0f1bb17c74be6cd254e18e05bab5c93fbb0a30f3,0xce23b5b2a0f8032db2044e6507c8e0dc40af4444,0.683100,105956338.38,4062,7030,6547,13402,19,84,3.30,1.91,0.93
98187108,0xbcecf82e814592f460db81eb73c03e5786ff914e01590d3abea475e455be0e2e,0x087d087ee63bfb491eae09d68aecfb2b13de4444,1.485000,49616217.54,18856,30309,11922,55688,2906,1725,2.95,1.84,0.39
98187444,0x47d3535a8564d92a9691c5fd3c52a53009da2d3d429dc3095b27d5cc4cc88c38,0xbf5896d404189afac695ead5310d12efe20d4444,0.683100,93891190.67,4584,7124,6988,11784,26,85,2.57,1.65,0.98
98195082,0x69627f48f05cc03dc802244ccad98e8fca0bf4f69b8ac065c6fba64f717fece0,0x517bb4070f67de73c89c45db2dc95b2672be4444,0.683100,69464547.48,6195,9828,9828,11698,1,42,1.89,1.19,1.00
98195329,0x585d1aa197fa6b0dc7ecd4567d7d54e33d8193debada18dc0582fd431619abf2,0x674ba5b262aeae35bec6794642f312daa07d4444,0.683100,32715935.07,13154,16754,16754,17990,2,56,1.37,1.07,1.00
98205945,0x385a3b023f8d87942d0d7b5a11a200068ec50f407ca87fc8627913f6ee41f2cf,0xc6fc51d10cf3e174152cc54b316cf844aac14444,0.683100,73730175.13,5837,9847,8515,12554,12,110,2.15,1.27,0.86
98224331,0x64f7ab31bf1bd3e8c766e0688edbe79a981ebd9ec0692e7ab5d846ccfdbda343,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.683100,56781877.73,7579,11840,10799,32052,70,578,4.23,2.71,0.91
98224346,0xe33b2c9f6b253cc9449caf885dfda9f57ae7fddd44a3e16ef2f67933deb980f4,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,2492806.54,12510,12396,11954,32052,55,538,2.56,2.59,0.96
98224394,0x6e3c544730bc53eb059cf5d302343f3a10936768144eeaa8a94d3f65cf11d4ee,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,1408665.70,22138,23696,19113,32052,7,456,1.45,1.35,0.81
98224398,0xb9e2f8b109d3df9a73919bc2eda74d2bf26bb9326496fd4dd464cdd6fa152c50,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,1631605.31,19113,29076,29076,32052,3,436,1.68,1.10,1.00
98224403,0x5d56220250a8bb90e4486fe6c6eeacdf46c2c204c42b4f7cfd950efe581fb0d9,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,1212922.64,25711,23989,23989,30804,4,415,1.20,1.28,1.00
98224406,0x64667d6f25c7a9fb0268f30ec4135415e4e650de24ab83e708c9660ab76369be,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,1200304.41,25981,26424,26424,30804,1,395,1.19,1.17,1.00
98224410,0xa2f04f9e69df0579e50351168856194aa998565468798dc04097c68c48b93a35,0x81e1c6d290dd3bdb10d48f4bb1573b41627e4444,0.049500,1175844.41,26521,24883,18398,26919,71,371,1.02,1.08,0.74
98224589,0x9283dfada1305634cb067e9c27f78b823207bd70da36f907f9528b33cd70f0e7,0x61fb5d4cd63fee6b64167680ce48d7d01a9c4444,0.683100,91656405.40,4695,6139,6017,9078,26,66,1.93,1.48,0.98
98235192,0xacca4548a05713769a921d4c8d89176145f3e252669bef74a51eef28dccfa07b,0xc70ef0f7d336bdc45cd9dbc356f8edf3ecef4444,0.683100,47627189.76,9036,16909,11268,20886,25,181,2.31,1.24,0.67
98235192,0xa03affa1c3b222e9bc2debe7d3330faa009b003db8a5658f85aa0f6f3655d55f,0xc70ef0f7d336bdc45cd9dbc356f8edf3ecef4444,0.683100,41615502.15,10341,16909,11268,20886,25,181,2.02,1.24,0.67
98235456,0x7d0dab37aa172ffc2601c0133cf3a70998d70d8ec042a2229953ddae647d49d7,0xbb4da9840c6a11a88f5e35f1d0996e64a6494444,1.485000,34884297.12,26819,40922,40922,55041,6,42,2.05,1.35,1.00
98235457,0xd53bc6ebd6e8243fdc7d270d7bbec100410dcb891e580835f274ed2447bb1649,0xbb4da9840c6a11a88f5e35f1d0996e64a6494444,1.485000,22820402.73,40996,45596,42352,55041,5,38,1.34,1.21,0.93
98235672,0xe29d56cf6634401b7b5763a2492384f3452abf3d3c919bdd03879f769f4dbd4f,0xdd8c4984e122acea612af84f0e78f123de034444,458.596638,83014342.26,3480313,4762667,4762667,5022069,2,20,1.44,1.05,1.00
98251274,0x2c4ff1f04d7fcd6c3b28b8ca8ae58597feefd98327e270a5fd404f1daf53bc02,0x0c1d90bf3025e9f84b8c9d98042cde9505dd4444,0.683100,95887874.10,4488,8515,8515,8515,2,27,1.90,1.00,1.00
98373502,0x6a58456ae069756994ececdd81307cccc198b0cdc23d575b2a9316ba12efaf3b,0x9019d0e5dedfaf0323ecf281e43324ca57c84444,0.495000,79097496.11,3943,5755,5755,6367,25,50,1.61,1.11,1.00
98376930,0x754a3fea3a82967ac855e263e88bf69f086bc29f83639660cb54e9968b6012d0,0x5b801afe28a75d686c943128c189685db7424444,0.683100,69927907.68,6154,6681,6681,19873,33,299,3.23,2.97,1.00
98380917,0xad734132ddc01c6d13162633221ee884970025279bdb6bca7097bd263ddfb351,0xccb56656918172793e2af5a805ab958e68614444,0.683100,98724740.13,4359,6197,5440,10112,19,114,2.32,1.63,0.88
98387151,0x71b990adc6ed8684ff033613e9b17751fca164bef84473a2eab51a6b9a5ce581,0x18fedb33afa84e871f056db090b7c862c4d9ffff,0.683100,55329140.35,7778,13997,6691,18587,223,367,2.39,1.33,0.48
98389431,0x07e32f57186a2009bedc557ae375315f057d5f62de7cc687bd3d3000648c5dab,0x7046338a0f269417b6cf98915799d2eef81d4444,0.683100,62325130.21,6905,10905,9323,55829,253,528,8.09,5.12,0.85
98389434,0xbe06531ea00b3a5fb2a32e15d1ffb72413fc9a54b85689d8e0a63c0e1e7c1593,0xe0c8f382bd0b8d42900878a4aebd0ccad92e4444,0.683100,92970268.20,4629,7577,6092,9068,20,49,1.96,1.20,0.80
98389434,0xed06662394d994f46231b200685f62b2f9d7574b33ca496af7d3c00d0e88d3b1,0xe0c8f382bd0b8d42900878a4aebd0ccad92e4444,0.683100,55227224.39,7792,7577,6092,9068,20,49,1.16,1.20,0.80
98389437,0xad71c9af535d32f9595c357b8fecb7d2db6cd34d2f32918de06d9a6610a8d7c6,0xb2dbeb35d5e966701fd6e26bc34e279c075d4444,0.683100,94312608.44,4563,7229,7229,7266,2,15,1.59,1.01,1.00
98389556,0xf3faf7ce94352a0ab6998da4c59c641a2245236ff78ef8f03b9fd7d6a8f43a61,0x7046338a0f269417b6cf98915799d2eef81d4444,1.485000,36115453.13,25904,31096,14220,55829,128,283,2.16,1.80,0.46
98390725,0xf1302d65434a3ddd297468c404729a3ddb1f7bebe8f1fd26d96de21ab7827afd,0x1ed712ce32b53d0e8517fedb6774a2fcb6d44444,0.683100,23784748.81,18094,33888,33888,39130,6,203,2.16,1.15,1.00
98390726,0xd2b5ee65f5aa9b67c8bafff2ab23a813376d61676f6ab5bed24beb64d1224e48,0x1ed712ce32b53d0e8517fedb6774a2fcb6d44444,0.683100,18231062.40,23605,33944,33944,39130,5,202,1.66,1.15,1.00
98390760,0xd2031bba7dbc173f1a37f8876cc95858ff91fe2d56c94b6f3333ebcda9bbce5a,0x1ed712ce32b53d0e8517fedb6774a2fcb6d44444,0.683100,32657140.73,13178,18367,18367,20944,2,94,1.59,1.14,1.00
98394766,0x95cbe0f3f42c712325fc1e5c4aa61b239b1bcf793435d6248a7ab14c3d516b90,0x43eeb5545a138aef28d405669ce66abc2ace4444,0.683100,42755197.62,10066,25092,24105,53125,13,378,5.28,2.12,0.96
98394766,0xdf7db4445d5df9174be2de6f203e3b9e084705d096a33c092f48b972e44ef74e,0x43eeb5545a138aef28d405669ce66abc2ace4444,0.683100,15489326.63,27784,25092,24105,53125,13,378,1.91,2.12,0.96
98394790,0xfa68c28489482368cfce3f8d72992c48ac24f60fe52174406c0aff19010c148a,0xf355e904946149a5d2241c143394eb1699594444,0.683100,34391976.66,12513,17046,14973,55972,72,395,4.47,3.28,0.88
98394793,0xce2105a65773a3233d1ac5a524f867a0cb6f6452fa49b509259c8b2444c4950d,0xf355e904946149a5d2241c143394eb1699594444,0.683100,21973418.75,19585,26384,14973,55972,69,372,2.86,2.12,0.57
98394860,0x2f6c6ebf60cbf5ae38f6bc3dd403d1d17b1afcbdd213523fd6dff4dd6bfcef5f,0xf355e904946149a5d2241c143394eb1699594444,0.495000,6063120.12,51434,50477,50477,55972,2,85,1.09,1.11,1.00
98395607,0x270240ffa2c15fd42ebef3a03b92a8465d268d51b6a38b95643daa3e93b79ace,0x7654f61dcf98e8aa57df9523c14c372ab4374444,0.683100,51342473.80,8382,9094,9094,44401,382,1247,5.30,4.88,1.00
98404098,0x6dab85ee1969565fc1d4d79e2eca3229a13c9be53803d2dfb1adedd3d4511b91,0xf8153e6da83253ca9db3f7c90006487ecfab4444,0.495000,63683308.48,4897,6717,6284,9033,25,69,1.84,1.34,0.94
98415427,0x88999222f5366172a73f274a6fdb8e61dce1e9b073569a50010042a910a14942,0x079593df856da2b162d3d690bc0688ad28254444,0.683100,61525938.45,6995,10515,9092,24935,1311,699,3.56,2.37,0.86
98418006,0xbb20801d59aabe2129ab48c51664a85126c56b7b618e2019f935d9039b021aed,0xe316aa7a78ed79deb7cf7658fb7bc1eda6874444,470.829381,86342774.62,3435406,4961802,4599703,9131584,40,135,2.66,1.84,0.93
98426966,0x678c968cd5d3538d10f2c92845354a058e11a063090bc176b5e8d5e72e2c7adb,0xa655dbba4a937d9e852642e32f5ec211aadf4444,0.049500,2081564.83,14982,16391,16391,21458,83,76,1.43,1.31,1.00
98427214,0xe0299b00653378ebfde388d7c41461c49ded11a7d25d488ad71aa6c90fd8c07c,0x8d21ce4993d4aab34446c4716575e02af2e94444,0.247500,41060800.84,3797,6598,6095,11346,667,236,2.99,1.72,0.92
98432611,0xb27543b2bd77eef1fa3afb5abe5dc9b4130091a5a1a7504a2c5cc0d2dfc31f9f,0x404243878aa532db708abfbc22fb7701436e4444,0.683100,32048865.55,13428,18400,14959,24977,76,378,1.86,1.36,0.81
98441308,0xea261c51c74a87b6fe8824e1f4338b26afaef63e0ee408b7d9f50a2ab7a0a734,0x079593df856da2b162d3d690bc0688ad28254444,0.683100,42057882.65,10232,14772,13568,20264,20,233,1.98,1.37,0.92
98458611,0x92a80c34ee0b5393c8f668201c344d02820714c05c5ce3d36b4f4112977e88c6,0x079593df856da2b162d3d690bc0688ad28254444,0.495000,19232682.81,16215,20315,18057,54226,1055,665,3.34,2.67,0.89
98559373,0x93de6257b92c4de446469ea116062f4329ec190f022c5616a6d8e025b9636448,0x3ed685c9781191ab4a2766581fe7b7b261014444,0.683100,63639646.97,6762,8968,7468,16085,134,245,2.38,1.79,0.83
98569428,0x6ebbee17245bb33b634dc4533a1de8f68d1dbbe3dd49bfcb7271452659847264,0x632ab66e4b25e5f29c9046d308bd6cac90f44444,0.683100,34573374.91,12448,18734,18734,20050,2,408,1.61,1.07,1.00
98570525,0x98215348ccfba42ef65cfa74ff220294c7fd99fc250941d935af6734dd9978cd,0x00ac14c7f2c7a76abb8f313af3a75bb8a79d4444,0.683100,87877815.43,4897,10258,10258,10944,6,80,2.23,1.07,1.00
98570583,0xa5b06ca9fd956825d58b83fabaca4762cbc798d3bda00c1f621b1844aec58104,0xb36f0b722fef141e2bf5a572f20ac109c0c84444,0.683100,57584668.85,7473,11699,11699,12198,3,40,1.63,1.04,1.00
98572061,0x9b7f3f776d56a0a930ed41d6e34814dd926ed776387ac6fe1d6f4f345bcd8e32,0xdadaee1db36afca33f3fd85b3e9f36f6324b4444,0.683100,76968189.92,5591,7711,6873,9287,23,72,1.66,1.20,0.89
98575699,0x7992dd989657a7318f43a3c3aed215223e56612708ef03ec8807a57d334614a0,0x2f30ff5e5c98d292c3b6a5102c15bd87926f4444,0.990000,52253995.75,11936,15172,9795,22548,2235,632,1.89,1.49,0.65
98578461,0xf72ea354d27c356e8e9b88f33f2a103c33cd9ff2e852f316942b09d0137a2cc5,0x001008026099c3645f1b514432c994f0a5fd4444,0.495000,46757509.08,6670,8421,8421,9674,2,29,1.45,1.15,1.00
98585318,0xaa48d055ca16cb3365a54cc00da4544d8cd5cc827ef7b84e2a32f1d3c5081760,0xaea7d383eac2063bfa2f7f1ed3381e48bca74444,0.683100,42668414.86,10086,19295,8170,55935,1141,1245,5.55,2.90,0.42
98585331,0x156de9fd0d5c2c86e3869c2815c1807b4a9f56323aa82d48a680045a53b97b36,0xaea7d383eac2063bfa2f7f1ed3381e48bca74444,0.049500,2144708.68,14540,16726,12127,55935,1128,1199,3.85,3.34,0.73
98586536,0xc4853c256f066e274acfba688b1af4ce7984af759f27c4171c226f9e699ca4d3,0xd92fa7c3241eb5d1bd9ec2f39bc3f851bcdd4444,0.683100,89110938.14,4829,6493,6493,7623,1,48,1.58,1.17,1.00
98586563,0x1f03da3b77b0ecde89c4612d30c74cd74b28073e5ae0d282c7597f988342425a,0x8f6e27c7f7a36c2cabe4c2fade26ab6276164444,0.683100,72228551.62,5958,6780,6776,56020,1612,1208,9.40,8.26,1.00
98591517,0x1f7b8bc32be613ca141032c72868b144e17b79834d28b2047750a111b06dac12,0xc9e650ddf2b5c71d31bdc4a8258d626b78294444,0.683100,69334378.74,6207,9456,8240,55279,1240,1122,8.91,5.85,0.87
98594716,0x427521f840d13fe33e86c2df1348f989e012e00eda8df3a618d6735d9d197b05,0x29c12919470bb4b96f19995f39907f6f22acffff,0.683100,87911469.10,4895,9795,9795,10402,3,34,2.12,1.06,1.00
98594756,0x73a9345d236c2807959e265478f798c496518c27fa39cb5ea836ac7f988e37f1,0x62ce91bb734fd973ae61d8bde8ea7b551851ffff,0.683100,94164718.02,4570,6694,5555,10082,9,54,2.21,1.51,0.83
98615945,0x4a813e4c065f7cf858a5b9b02ce25bba462e0d2d878c903e35ce3e9265fdd205,0xa39bd4cc56dae8033d376219549c0ad3be604444,0.990000,15121806.79,41245,49928,24936,54125,952,586,1.31,1.08,0.50
98618000,0x52d604cf1877d25fc255115d9cb4c0e2566a9872ee1a6b0328b1e780e9ea1de1,0x3f4e3ef253f652e74f6ce3840193621e39974444,0.683100,58638229.99,7339,11128,10038,15110,35,157,2.06,1.36,0.90
98626400,0x8425650182466c41a9db17b472b63ad05074b904cfd5a4ef4545e45c3ab8d631,0x121da6af91cc364601c858046d78d3c914684444,0.683100,78976919.80,5449,10016,7631,14434,73,264,2.65,1.44,0.76
98663418,0xfedc0e700eb998c55512be725d547aa2fa63dc4f4a3621da467606cf10be6111,0xb7963ca8d6ed29d49c1b6ae5cb6618a08d374444,2.970000,58852301.70,31793,31793,31793,53828,0,7,1.69,1.69,1.00
98663418,0x3d4fd549903b790b0dbf3bf7ac4b5d3b66e8719a40d331e4098d80593625e78e,0xb7963ca8d6ed29d49c1b6ae5cb6618a08d374444,0.997548,11675292.29,53828,53828,53828,53828,0,7,1.00,1.00,1.00
98757416,0x22e0efdf094f6dcf5788c44d2e670cc8ab3d688bc105d636c1845982d263c5b2,0x3c53a6b2a84abec7f8ff963b42e53993ce5d4444,0.990000,39348990.44,15850,18008,7728,41408,1083,1595,2.61,2.30,0.43
98769625,0x16e6ee0e7a34b985c2a40054fe5a580c55ff8f917493859e14c5407b4bdae049,0xb0eb2a1a2620225cac1ed22887eb607e334b4444,0.990000,24273460.88,25695,31408,29076,54743,348,286,2.13,1.74,0.93
98770080,0x5d4b68a96f0e90d6b9c38d25b6eab085461927cecc030af97ec8524262300eca,0x5568736ded6bbd23c87d7f4f4d513e500bc14444,0.683100,94961805.59,4532,6358,6358,8358,7,53,1.84,1.31,1.00
98776106,0x66c7b23f8d7e8cdf20dea3b0dded7e65215367f6f4b566e535838f89d565cb9f,0x4c9034c1bd155387d8c48fdf04563e7f8d9f4444,0.683100,72899855.23,5903,7951,7951,13218,41,118,2.24,1.66,1.00
98782916,0x60d96e2b2801231ecfaaf67c93a0c028ce2115f51987b6ef68b8d43b74c551a0,0xe4169458dce0a8476c3d2d69b6de3743e8074444,0.683100,97086070.22,4433,6841,3707,17015,3917,235,3.84,2.49,0.54
98784876,0x4da4fb38e32117516b8b072115756de3979ce38e486e185f33d9019c1bad7392,0x202ec43a45b82db2dca7b20ead855ef286124444,0.683100,75443318.62,5704,7850,7850,9289,7,67,1.63,1.18,1.00
98785494,0x6cc897802a2c208599285443d5a38b7d22a1e6099e517d01f55e8006046281c7,0xea61a2b500a0ac4c6e962ce867fd9029b018ffff,0.683100,72002097.74,5977,8182,6696,11799,38,145,1.97,1.44,0.82
98785565,0x7cbde8f91248f8a3d5e7da4cbe8c9c559729f5883baffaacf55e375668904d03,0xaa1aac60429ac2e152725e1c2ebc995d010bffff,0.683100,96241312.25,4472,6448,6448,8100,5,65,1.81,1.26,1.00
98790633,0x76b2c3802cf3b18b73e99742b854df8d306c58f6d7d15e3542611a1dfb86b74f,0xaa4c971e7b92d49f7b045b47921d5c4e64754444,0.495000,79097496.11,3943,5349,5349,7274,16,64,1.84,1.36,1.00
98791130,0x9aed1014341f717cd4f499889a5bce611bf4f80ed7bf41d559feeebf3d8cd14d,0xa892745c853760335ca6dc8e008c43a4613b4444,0.683100,77590542.38,5546,6886,5598,21713,250,271,3.91,3.15,0.81
98792465,0xc19c434bbb4787fb6d55168038538a93f751cf9a28a330bb4227e1c1d4839b10,0x1e0ba59f322c1cf14b2d4a643df218491fb34444,0.683100,35620177.75,12082,15274,9605,20051,538,428,1.66,1.31,0.63
98840466,0x122e4746478367f08964fa1c9c9c0cb6f4daf50ff7062427ad2d87c637aa0983,0x6750ca15f0772fe54d594aef6c6c4ac997fd4444,2.970000,78741940.51,23762,43834,43834,55568,3,48,2.34,1.27,1.00
98940060,0x93cab1eca65aca9a5ef73ae662ddea9599f3643bccb75fb3368bbbf709a5d680,0xddef8de018b2a0388f48611efc6c8e8c78f64444,0.495000,79097496.11,3943,5477,5477,6442,1,25,1.63,1.18,1.00
98945082,0xce4650818f9d1ee876dfa44d5d89934709a18ba18166e37cab03e168b416308a,0xf10692720ddeb0c628e1e822cebe8fff2e254444,0.495000,65889705.74,4733,6415,6415,7435,1,55,1.57,1.16,1.00
98960996,0x68eea1485e59fb82e9d1e982bde53bb17f4c43ecc1696902da5fb9ab9108caba,0x4fad0e11e1d893c45c5cfbd6eeee7ce530af4444,0.683100,97086070.22,4433,5836,5836,15481,184,397,3.49,2.65,1.00
